local_time,flow_timestamp,src_ip,dst_ip,dst_port,protocol,prediction
16:47:58,2026-04-19 16:43:56,192.168.100.119,192.168.100.1,53,17,NORMAL
16:47:58,2026-04-19 16:46:20,192.168.100.131,224.0.0.251,5353,17,NORMAL
16:48:01,2026-04-19 16:46:02,192.168.100.119,40.127.158.108,443,6,NORMAL
16:48:01,2026-04-19 16:46:28,18.97.36.64,192.168.100.119,53324,6,NORMAL
16:48:04,2026-04-19 16:43:48,192.168.100.119,239.255.255.250,1900,17,NORMAL
16:48:16,2026-04-19 16:43:21,192.168.100.119,2.17.117.123,443,6,NORMAL
16:48:16,2026-04-19 16:44:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:48:16,2026-04-19 16:44:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:48:16,2026-04-19 16:44:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:48:16,2026-04-19 16:44:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:48:16,2026-04-19 16:44:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:48:16,2026-04-19 16:44:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:48:16,2026-04-19 16:44:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:48:16,2026-04-19 16:44:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:48:16,2026-04-19 16:44:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:48:19,2026-04-19 16:43:22,192.168.100.119,4.176.49.0,443,6,NORMAL
16:48:19,2026-04-19 16:43:32,192.168.100.119,128.251.64.148,443,6,NORMAL
16:48:25,2026-04-19 16:43:22,192.168.100.119,23.197.141.129,80,6,NORMAL
16:48:25,2026-04-19 16:44:24,192.168.100.119,192.168.100.1,53,17,NORMAL
16:48:25,2026-04-19 16:44:24,192.168.100.119,192.168.100.1,53,17,NORMAL
16:48:25,2026-04-19 16:44:24,192.168.100.119,192.168.100.1,53,17,NORMAL
16:48:25,2026-04-19 16:46:45,34.120.52.64,192.168.100.119,53331,6,NORMAL
16:48:34,2026-04-19 16:44:32,192.168.100.119,192.168.100.1,53,17,NORMAL
16:48:34,2026-04-19 16:44:32,192.168.100.119,192.168.100.1,53,17,NORMAL
16:48:34,2026-04-19 16:44:32,192.168.100.119,192.168.100.1,53,17,NORMAL
16:48:58,2026-04-19 16:43:56,192.168.100.119,100.51.138.186,443,6,NORMAL
16:48:58,2026-04-19 16:43:56,192.168.100.119,34.239.193.2,443,6,NORMAL
16:49:16,2026-04-19 16:47:33,192.168.100.119,52.168.112.66,443,6,NORMAL
16:49:16,2026-04-19 16:45:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:49:16,2026-04-19 16:45:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:49:16,2026-04-19 16:45:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:49:16,2026-04-19 16:45:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:49:16,2026-04-19 16:45:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:49:16,2026-04-19 16:45:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:49:19,2026-04-19 16:47:16,192.168.100.119,34.206.207.172,443,6,NORMAL
16:49:28,2026-04-19 16:47:55,192.168.100.119,13.216.96.160,443,6,NORMAL
16:49:28,2026-04-19 16:47:55,192.168.100.119,13.216.96.160,443,6,NORMAL
16:49:31,2026-04-19 16:45:14,192.168.100.119,51.104.15.252,443,6,NORMAL
16:49:37,2026-04-19 16:47:34,192.168.100.1,239.255.255.250,1900,17,NORMAL
16:49:40,2026-04-19 16:45:37,192.168.100.119,192.168.100.1,53,17,NORMAL
16:49:40,2026-04-19 16:45:37,192.168.100.119,192.168.100.1,53,17,NORMAL
16:49:40,2026-04-19 16:45:37,192.168.100.119,192.168.100.1,53,17,NORMAL
16:49:55,2026-04-19 16:45:19,192.168.100.119,140.82.121.6,443,6,NORMAL
16:49:55,2026-04-19 16:45:37,192.168.100.119,51.104.15.252,443,6,NORMAL
16:49:55,2026-04-19 16:45:49,192.168.100.119,239.255.255.250,1900,17,NORMAL
16:49:55,2026-04-19 16:45:38,192.168.100.119,51.104.15.252,443,6,NORMAL
16:49:55,2026-04-19 16:48:23,192.168.100.119,143.204.11.124,443,6,NORMAL
16:49:58,2026-04-19 16:48:22,192.168.100.119,13.216.96.160,443,6,NORMAL
16:49:58,2026-04-19 16:48:26,192.168.100.119,44.220.98.184,443,6,NORMAL
16:50:01,2026-04-19 16:48:15,192.168.100.119,40.127.158.108,443,6,NORMAL
16:50:04,2026-04-19 16:46:01,192.168.100.119,52.182.143.210,443,6,NORMAL
16:50:04,2026-04-19 16:46:02,192.168.100.119,52.182.143.210,443,6,NORMAL
16:50:07,2026-04-19 16:46:06,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:07,2026-04-19 16:46:06,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:07,2026-04-19 16:46:06,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:07,2026-04-19 16:46:06,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:07,2026-04-19 16:46:06,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:07,2026-04-19 16:46:06,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:07,2026-04-19 16:48:26,34.120.52.64,192.168.100.119,53331,6,NORMAL
16:50:10,2026-04-19 16:46:07,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:10,2026-04-19 16:46:07,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:10,2026-04-19 16:46:07,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:16,2026-04-19 16:46:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:16,2026-04-19 16:46:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:16,2026-04-19 16:46:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:16,2026-04-19 16:46:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:16,2026-04-19 16:46:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:19,2026-04-19 16:46:15,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:19,2026-04-19 16:46:16,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:19,2026-04-19 16:46:16,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:19,2026-04-19 16:46:16,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:19,2026-04-19 16:46:16,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:19,2026-04-19 16:46:16,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:19,2026-04-19 16:48:45,192.168.100.119,18.97.36.64,443,6,NORMAL
16:50:19,2026-04-19 16:46:17,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:19,2026-04-19 16:46:17,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:19,2026-04-19 16:46:17,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:22,2026-04-19 16:46:21,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:22,2026-04-19 16:46:21,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:22,2026-04-19 16:46:21,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:22,2026-04-19 16:46:21,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:22,2026-04-19 16:46:21,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:22,2026-04-19 16:46:21,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:25,2026-04-19 16:46:22,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:25,2026-04-19 16:46:22,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:25,2026-04-19 16:46:22,192.168.100.119,192.168.100.1,53,17,NORMAL
16:50:40,2026-04-19 16:45:36,192.168.100.119,34.205.194.108,443,6,NORMAL
16:50:43,2026-04-19 16:49:12,192.168.100.119,20.250.119.64,443,6,NORMAL
16:50:52,2026-04-19 16:46:48,192.168.100.129,224.0.0.251,5353,17,NORMAL
16:50:58,2026-04-19 16:46:42,192.168.100.119,192.168.1.6,7680,6,NORMAL
16:51:01,2026-04-19 16:49:18,192.168.100.119,52.168.112.66,443,6,NORMAL
16:51:07,2026-04-19 16:46:06,192.168.100.119,52.201.112.34,443,6,NORMAL
16:51:10,2026-04-19 16:46:07,192.168.100.119,18.211.27.106,443,6,NORMAL
16:51:16,2026-04-19 16:46:15,192.168.100.119,32.192.166.14,443,6,NORMAL
16:51:19,2026-04-19 16:45:58,192.168.100.119,34.206.207.172,443,6,NORMAL
16:51:19,2026-04-19 16:49:16,34.206.207.172,192.168.100.119,51942,6,NORMAL
16:51:22,2026-04-19 16:47:19,140.82.112.22,192.168.100.119,51862,6,NORMAL
16:51:22,2026-04-19 16:47:57,192.168.100.131,224.0.0.251,5353,17,NORMAL
16:51:25,2026-04-19 16:46:23,192.168.100.119,3.229.36.203,443,6,NORMAL
16:51:25,2026-04-19 16:47:08,192.168.100.119,13.217.64.95,443,6,NORMAL
16:51:28,2026-04-19 16:47:27,192.168.100.119,192.168.100.1,53,17,NORMAL
16:51:28,2026-04-19 16:47:27,192.168.100.119,192.168.100.1,53,17,NORMAL
16:51:28,2026-04-19 16:47:27,192.168.100.119,192.168.100.1,53,17,NORMAL
16:51:31,2026-04-19 16:47:29,192.168.100.119,192.168.100.1,53,17,NORMAL
16:51:31,2026-04-19 16:47:29,192.168.100.119,192.168.100.1,53,17,NORMAL
16:51:31,2026-04-19 16:47:29,192.168.100.119,192.168.100.1,53,17,NORMAL
16:51:37,2026-04-19 16:49:59,192.168.100.119,34.204.252.47,443,6,NORMAL
16:51:37,2026-04-19 16:50:01,192.168.100.119,3.216.247.181,443,6,NORMAL
16:51:37,2026-04-19 16:50:01,192.168.100.119,54.83.13.230,443,6,NORMAL
16:51:40,2026-04-19 16:47:22,192.168.100.119,192.168.1.202,7680,6,NORMAL
16:51:40,2026-04-19 16:49:36,192.168.100.1,239.255.255.250,1900,17,NORMAL
16:51:40,2026-04-19 16:50:01,192.168.100.119,44.220.98.184,443,6,NORMAL
16:51:40,2026-04-19 16:50:09,34.120.52.64,192.168.100.119,53331,6,NORMAL
16:51:43,2026-04-19 16:47:42,192.168.100.119,192.168.100.255,138,17,NORMAL
16:51:43,2026-04-19 16:49:12,192.168.100.119,140.82.113.21,443,6,NORMAL
16:51:49,2026-04-19 16:50:17,18.97.36.64,192.168.100.119,53324,6,NORMAL
16:51:55,2026-04-19 16:47:49,192.168.100.119,239.255.255.250,1900,17,NORMAL
16:51:55,2026-04-19 16:50:15,192.168.100.119,40.127.158.108,443,6,NORMAL
16:52:01,2026-04-19 16:46:45,192.168.100.119,184.34.82.7,443,6,NORMAL
16:52:04,2026-04-19 16:49:59,192.168.100.119,72.153.5.139,443,6,NORMAL
16:52:10,2026-04-19 16:50:38,192.168.100.119,143.204.11.124,443,6,NORMAL
16:52:10,2026-04-19 16:50:10,192.168.100.119,13.216.96.160,443,6,NORMAL
16:52:13,2026-04-19 16:50:11,192.168.100.119,13.216.96.160,443,6,NORMAL
16:52:13,2026-04-19 16:50:06,192.168.100.132,224.0.0.251,5353,17,NORMAL
